meanBitLifeTimePerPacket:vector TS_network.sink1.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink4.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink2.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[0].sink (#0 - General-0-20250518-12:02:52-15739),,meanBitLifeTimePerPacket:vector TS_network.sink3.app[1].sink (#0 - General-0-20250518-12:02:52-15739),
0.913362578854,0.000012838565,0.913373278939,0.000018450001999999,0.608933897358,0.000022420729999999,,,0.608927812989,0.000028135943
0.913512580054,0.000012840814999999,0.913523280139,0.000018452701999999,0.609033897558,0.00002241993,,,0.609027812089,0.000028135342999999
0.913662581254,0.000012843064999999,0.913673281339,0.000018455401999999,0.609133897758,0.000022419129999999,,,0.609127811189,0.000028134742999999
0.913812582454,0.000012845314999999,0.91382328254,0.000018458103,0.609233897958,0.000022418329999999,,,0.609227810289,0.000028134142999999
0.913962583654,0.000012847564999999,0.91397328374,0.000018460802999999,0.609333898158,0.000022417529999999,,,0.609327809389,0.000028133542999999
0.914112584854,0.000012849814999999,0.91412328494,0.000018463502999999,0.609433898358,0.00002241673,,,0.609427808489,0.000028132943
0.914262586054,0.000012852064999999,0.91427328614,0.000018466202999999,0.609533898558,0.000022415929999999,,,0.609527807589,0.000028132342999999
0.914412587254,0.000012854314999999,0.91442328734,0.000018468902999999,0.609633898758,0.000022415129999999,,,0.609627806689,0.000028131742999999
0.914562588454,0.000012856564999999,0.91457328854,0.000018471602999999,0.609733898958,0.000022414329999999,,,0.609727805789,0.000028131142999999
0.914712589654,0.000012858815,0.91472328974,0.000018474302999999,0.609833899158,0.00002241353,,,0.609827804889,0.000028130542999999
0.914862590854,0.000012861064999999,0.91487329094,0.000018477003,0.609933899358,0.000022412729999999,,,0.609927803989,0.000028129943
0.915012592054,0.000012863315,0.91502329214,0.000018479703,0.610033899558,0.000022411929999999,,,0.610027803089,0.000028129342999999
0.915162593254,0.000012865564999999,0.91517329334,0.000018482402999999,0.610133899758,0.000022411129999999,,,0.610127802189,0.000028128742999999
0.915312594454,0.000012867815,0.91532329454,0.000018485102999999,0.610233899958,0.000022410329999999,,,0.610227801289,0.000028128142999999
0.915462595654,0.000012870064999999,0.91547329574,0.000018487802999999,0.610333900158,0.000022409529999999,,,0.610327800389,0.000028127542999999
0.915612596854,0.000012872314999999,0.91562329694,0.000018490502999999,0.610433900358,0.000022408729999999,,,0.610427799489,0.000028126943
0.915762598054,0.000012874564999999,0.91577329814,0.000018493202999999,0.610533900558,0.00002240793,,,0.610527798589,0.000028126342999999
0.915912599254,0.000012876814999999,0.91592329934,0.000018495902999999,0.610633900758,0.000022407129999999,,,0.610627797689,0.000028125742999999
0.916062600454,0.000012879064999999,0.91607330054,0.000018498603,0.610733900958,0.000022406329999999,,,0.610727796789,0.000028125142999999
0.916212601654,0.000012881314999999,0.91622330174,0.000018501303,0.610833901158,0.000022405529999999,,,0.610827795889,0.000028124542999999
0.916362602854,0.000012883565,0.91637330294,0.000018504001999999,0.610933901358,0.00002240473,,,0.610927794989,0.000028123943
0.916512604054,0.000012885814999999,0.91652330414,0.000018506701999999,0.611033901558,0.000022403929999999,,,0.611027794089,0.000028123342999999
0.916662605254,0.000012888065,0.91667330534,0.000018509402,0.611133901758,0.000022403129999999,,,0.611127793189,0.000028122742999999
0.916812606454,0.000012890314999999,0.91682330654,0.000018512102,0.611233901958,0.000022402329999999,,,0.611227792289,0.000028122142999999
0.916962607654,0.000012892565,0.91697330774,0.000018514801999999,0.611333902158,0.000022401528999999,,,0.611327791389,0.000028121542999999
0.917112608854,0.000012894813999999,0.91712330894,0.000018517501999999,0.611433902358,0.000022400728999999,,,0.611427790489,0.000028120943
0.917262610054,0.000012897064,0.91727331014,0.000018520201999999,0.611533902558,0.000022399929,,,0.611527789589,0.000028120342999999
0.917412611254,0.000012899313999999,0.91742331134,0.000018522901999999,0.611633902758,0.000022399128999999,,,0.611627788689,0.000028119742999999
0.917562612454,0.000012901564,0.91757331254,0.000018525601999999,0.611733902958,0.000022398328999999,,,0.611727787789,0.000028119142999999
0.917712613654,0.000012903813999999,0.91772331374,0.000018528301999999,0.611833903158,0.000022397528999999,,,0.611827786889,0.000028118542999999
0.917862614854,0.000012906063999999,0.91787331494,0.000018531002,0.611933903358,0.000022396729,,,0.611927785989,0.000028117943
0.918012616054,0.000012908313999999,0.91802331614,0.000018533702,0.612033903558,0.000022395928999999,,,0.612027785089,0.000028117343
0.918162617254,0.000012910563999999,0.91817331734,0.000018536401999999,0.612133903758,0.000022395128999999,,,0.612127784189,0.000028116742999999
0.918312618454,0.000012912813999999,0.91832331854,0.000018539101999999,0.612233903958,0.000022394328999999,,,0.612227783289,0.000028116142999999
0.918462619654,0.000012915063999999,0.91847331974,0.000018541801999999,0.612333904158,0.000022393529,,,0.612327782389,0.000028115542999999
